Course,Name,Description,Notes,Prerequisites,Corequisites,Antirequisites
PHIL350,"Topics in Epistemology","Special topics in epistemology, as announced by the department. Potential topics include (but are not limited to) the epistemology of testimony, the epistemology of disagreement, normative social cognition, and the varieties and functions of ignorance. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: One of PHIL 250B, 251, 255, 284","",""
PHIL355,"Topics in Metaphysics","Special topics in metaphysics, as announced by the Department. Potential topics include (but are not limited to) universals and particulars, the mind-body problem, realism and anti-realism, and the nature of time. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: One of PHIL 250A, 250B, 251, 283/CLAS 261, 284","",""
PHIL356,"Intelligence in Machines, Humans, and Other Animals","A comparison of the representations and processes that produce intelligent performance, such as problem-solving, learning, and language in natural and artificial systems.","","Prereq: PHIL/PSYCH 256","",""
PHIL358,"Topics in Philosophy of Science","Special topics in the philosophy of science, as announced by the department. Possible topics include (but are not limited to) philosophy of physics, philosophy of biology, the philosophy of social science, topics in the history and philosophy of science, general philosophy of science, and science in society. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 2A","",""
PHIL363,"Philosophy of Language","Topics in the philosophy of language such as meaning, truth, reference, speech acts, mental representations of syntax and semantics, psycholinguistics, and relations between logical and natural languages.","","Prereq: 0.50 units in PHIL","",""
PHIL371,"Special Topics","Special topics, as announced by the department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 2A","",""
PHIL380,"History of Ancient Philosophy","In this course students will examine one or more important figures, periods, or issues in ancient philosophy. Plato and Aristotle are among the philosophers who may be covered. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: 0.50 units in PHIL","",""
PHIL382,"Medieval Philosophy","In this course students will examine one or more important figures, periods, or issues in medieval philosophy. Augustine, Boethius, Avicenna, Maimonides, Aquinas, and Scotus are among the philosophers who may be covered. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: 0.50 unit in PHIL","",""
PHIL384,"History of Modern Philosophy","In this course, students will learn about one or more important figures, periods, or issues in modern philosophy. Descartes, Locke, Leibniz, Berkeley, Hume, and Kant are among the figures who may be covered. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: 0.50 unit in PHIL","",""
PHIL386,"19th- and 20th-Century Philosophy","A course on one or more important figures or issues in 19th- or 20th-century philosophy, as announced by the department. The focus of the course may change each time it is offered. Potential figures include (but are not limited to) Hegel, Marx, Nietzsche, James, Dewey, Peirce, Frege, Carnap, and Russell. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: 0.50 units in PHIL","",""
PHIL402,"Studies in Feminist Philosophy/Philosophy of Sex","Special topics in feminist philosophy, women philosophers and/or the philosophy of sex, as announced by the Department of Philosophy. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of four times. Formerly WS 422/PHIL 402.]","Prereq: Level at least 3A Philosophy students","",""
PHIL403,"Studies in Ancient Philosophy","Special topics in ancient philosophy, as announced by the department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL404,"Studies in Medieval Philosophy","Special topics in medieval philosophy, as announced by the department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL405,"Studies in Modern Philosophy","Special topics in 17th- and 18th-century philosophy, as announced by the Department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL407,"Studies in 19th- and 20th-Century Philosophy","Special topics in 19th- and 20th-century philosophy, as announced by the Department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL416,"Studies in Probability and Decision Theory","Special topics in probability and decision theory, as announced by the department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL420,"Studies in Ethics","Special topics in ethics, as announced by the Department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL422,"Studies in Political Philosophy","Special topics in political philosophy, as announced by the department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL441,"Studies in Logic","Special topics in logic, as announced by the Department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: One of PHIL 240, 341, 342, PMATH 330","",""
PHIL447,"Seminar in Cognitive Science","An interdisciplinary discussion of central issues concerned with mind and intelligence such as representation, meaning, inference, and consciousness. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: PHIL/PSYCH 256","",""
PHIL450J,"Being and Existence","A discussion of metaphysics as the kind of examination initiated by the Greeks (e.g., Parmenides and Aristotle) and renewed subsequently by many other philosophers (e.g., Aquinas and Heidegger), understood as ontology or the rational study of being as such. Notions such as reality, essence, existence, and analogy will be discussed.","","Prereq: Level at least 3A","",""
PHIL451J,"Thomas Aquinas","An in-depth study of a particular theme in Thomas Aquinas. Specific topic to vary. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: 0.5 units in PHIL; Level at least 3A","",""
PHIL452,"Studies in Epistemology","Special topics in epistemology, as announced by the Department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL455,"Studies in Metaphysics","Special topics in metaphysics, as announced by the Department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL458,"Studies in the Philosophy of Science","Special topics in the philosophy of science, as announced by the department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL459,"Studies in the Philosophy of Physics","An investigation of philosophical issues raised by physics. Topics could include the interpretation of quantum theory, the arrow of time, or the nature of space and time. This course is suitable for students with a background in either philosophy, physics, or mathematics. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL463,"Studies in the Philosophy of Language","Special topics in the philosophy of language, as announced by the department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL471,"Special Topics","Advanced study of special topics, as announced by the department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL472,"Special Topics","Advanced study of special topics, as announced by the department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL481,"Special Topics","Advanced study of special topics, as announced by the department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL482,"Special Topics","Advanced study of special topics, as announced by the department. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","Prereq: Level at least 3A Philosophy students","",""
PHIL498,"Directed Reading in Special Areas","Readings in selected topics chosen in discussion with instructor. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of three times.]","","",""
PHYS10,"Physics Seminar","This seminar brings together physics students in all years to hear invited speakers, view physics-related films, and learn about current research. [Offered: F,W]","","","",""
PHYS111,"Physics 1","An introduction to physics for students intending to concentrate their further studies in biology, dentistry, medicine and paramedicine; includes particle kinematics and dynamics, energy and momentum conservation, and rotational mechanics. [Offered: F, W; also offered online: W]","","","","Antireq: PHYS 115, 121"
PHYS111L,"Physics 1 Laboratory","For students who have taken or are taking PHYS 111. ","[Note: Lab alternates weeks. Offered: F]","","Coreq: PHYS 111","Antireq: PHYS 121L or 131L"
PHYS112,"Physics 2","A continuation of PHYS 111; includes simple harmonic motion, electrostatic force and potential, electric current and power, DC circuits, magnetic field and induction, wave motion, sound and optics. [Offered: W,S; also offered online: S]","","Prereq: PHYS 111 or 121;","","Antireq: PHYS 122, 125"
PHYS112L,"Physics 2 Laboratory","For students who have taken or are taking PHYS 112. ","[Note: Lab alternates weeks. Offered: W,S]","","Coreq: PHYS 112","Antireq: PHYS 122L or 132L"
PHYS115,"Mechanics","Brief review of kinematics. Particle dynamics, work, energy, conservation of energy. Conservation of linear momentum, collisions, rotational kinematics and dynamics, conservation of angular momentum. Equilibrium of rigid bodies. [Offered: F, W, S]","","","","Antireq: PHYS 111, 121; First year Engineering students only"
PHYS121,"Mechanics","An introductory course in physics for students intending to concentrate their future studies in the physical sciences, optometry, or mathematics; includes vectors (dot and cross products), particle kinematics and dynamics, forces in nature, work and energy, conservation of energy and linear momentum, rotational kinematics and dynamics, and conservation of angular momentum. ","[Note: Successful completion of 4U Calculus and Vectors, 4U Advanced Functions and 4U Physics is required. Offered: F, also offered online: W]","","Coreq: One of MATH 104, 127, 137, 147.","Antireq: PHYS 111, 115, ECE 105"
PHYS121L,"Mechanics Laboratory","For students who have taken or are taking PHYS 121. [Offered: F]","","","Coreq: PHYS 121","Antireq: PHYS 111L or 131L"
PHYS122,"Waves, Electricity and Magnetism","Simple harmonic motion, resonance, damped harmonic motion, complex numbers, wave motion and sound, electrostatic force and potential, electric current and power, capacitors, DC circuits, LRC circuits, introduction to magnetic fields Lorentz Force. [Offered: W, S; also offered online: S]","","Prereq: One of PHYS 111 (minimum grade 70%), 115, 121, ECE 105.","Coreq: One of MATH 127, 137, 147.","Antireq: PHYS 112, 125"
PHYS122L,"Waves, Electricity and Magnetism Laboratory","For students who have taken or are taking PHYS 122. [Offered: W]","","","Coreq: PHYS 122.","Antireq: PHYS 112L or 132L"
PHYS124,"Modern Physics","An introductory course in modern physics; includes relativity, quantum physics, atomic physics, nuclear physics, particle physics and gravitation. [Offered:  W]","","Prereq: One of PHYS 111 (minimum grade 70%), 115, 121, ECE 105.","Coreq: PHYS 112 or 122",""
PHYS125,"Physics for Engineers","Oscillations; simple harmonic motion. Wave motion, travelling and standing waves; transverse and longitudinal waves, including sound. Geometrical optics; reflection and refraction. Physical optics; interference and diffraction. Quantum physics; quantization of radiation; hydrogen atom. [Offered: W,S]","","Prereq: PHYS 115; Engineering students only.","","Antireq: PHYS 112, PHYS 122"
PHYS160L,"Introductory Measurement Laboratory","A lab for students following the Honours Physics Plan. ","[Note: Lab alternates weeks. Offered: W]","Prereq: Honours Physics students only.","Coreq: PHYS 122L.","Antireq: PHYS 132L"
PHYS175,"Introduction to the Universe","A survey course in astrophysics intended for Physics and Astronomy students. Astrophysical processes, the sky, the Sun, stars, black holes, the Milky Way and other galaxies, Big Bang cosmology. ","[Note: students in Honours Physics and Astronomy programs must also take PHYS 175L; Offered: W]","Prereq: One of PHYS 111,115,121; one of MATH 116, 117, 127, 137,147.","","Antireq: SCI 237, 238"
PHYS175L,"Introduction to the Universe Laboratory","For students who are taking PHYS 175. [Offered: W]","","","Coreq: PHYS 175",""
PHYS225,"Modeling Life Physics","Introduction to modeling living systems and their components. Statistical methods in data analysis, curve fitting, including p values. Fourier series and transforms, structural analysis, including nearest neighbor distributions in biomedical applications.  Introduction to methods for analysis of transport properties in biological systems. Use of computers in these areas. [Offered: F]","","Prereq: One of PHYS 112, 122; One of MATH 116, 117, 127, 137, 147.","Coreq: One of MATH 118, 119, 128, 138, 148",""
PHYS232L,"Measurement Laboratory","A laboratory that teaches programming for the computer interfacing of physics experiments and automatic data collection. ","[Note: Lab alternate weeks. Offered: F].","Prereq: PHYS 122L; Honours Materials and Nanosciences and Honours Physics students only","",""
PHYS233,"Introduction to Quantum Mechanics","Introduction to quantization, wave-particle duality and the uncertainty principle The Schroedinger equation and solvable examples. Topics will include stationary states of particle-in-a-box, harmonic oscillator, and the hydrogen atom. Quantization of angular momentum and spin. Introduction to approximation methods including time-independent perturbation theory. Modern applications of quantum mechanics. [Offered: W]","","Prereq: One of PHYS 112, 122, 125, ECE 106; One of MATH 118, 119, 128, 138, 148.","Coreq: One of MATH 211, 213, 228, AMATH 250, 251 ECE 205.","Antireq: CHEM 356, NE 232, PHYS 234, ECE 405"
PHYS234,"Quantum Physics 1","Background of quantum physics. Introduction to formalism of quantum physics. Introduction to operators. Quantization, waves, and particles. The uncertainty principle. The Schroedinger equation for one-dimensional problems: bound states in square wells, harmonic oscillator, transmission through barriers. ","[Note: CS 114, PHYS 236, or knowledge of computational methods is recommended. Offered: W, S]","Prereq: PHYS 112 or 122; One of PHYS 249, MATH 114, 136; One of MATH 128, 138, 148.","Coreq: One of MATH 228, AMATH 250, AMATH 251.","Antireq: CHEM 356, NE 232, PHYS 233, ECE 405"
PHYS242,"Electricity and Magnetism 1","Electrostatics in vacuum, electric potential, conductors and currents, magnetostatics in vacuum, electromagnetic induction. [Offered: W,S]","","Prereq: One of PHYS 112,122; One of MATH 128, 138, 148; (MATH 227 or co-requisite: AMATH 231).","Coreq: PHYS 242L for science students except Mathematical Physics & Materials and Nanosciences plan.",""
PHYS242L,"Electricity and Magnetism Laboratory","For students who have taken or are taking  PHYS 242. ","[Note: Lab alternates weeks. Offered: W,S]","","Coreq: PHYS 242","Antireq: PHYS 224L"
PHYS249,"Computational Physics and Linear Algebra","Computational techniques; numerical accuracy and speed; Python libraries and implementation; algorithms for numerical integration; matrix operations. Computational approach to vectors in 2- and 3-space; linear equations, matrices, determinants; eigenvalues and diagonalization. [Offered: F]","","Prereq: One of CS 114, 116, 136, 146","",""
PHYS256,"Geometrical and Physical Optics","Geometrical optics: image formation, ray tracing through multiple optical components, dispersion by prisms, optical fibers, optical instruments - eyes, telescopes, microscopes, and cameras, introduction to aberrations; physical optics: interference and interferometers, diffraction, imaging resolution, diffraction gratings and their use in spectroscopy; wave-particle duality; introduction to the electromagnetic nature of light and polarization. [Offered: F]","","Prereq: PHYS 112 or 122; One of MATH 108, 128, 138, 148.","Coreq: PHYS 256L for Science students except for Mathematical Physics Plan.","Antireq: ECE 404"
PHYS256L,"Optics Laboratory","For students who have taken or are taking PHYS 256. ","[Note: Lab alternates weeks. Offered: F]","","Coreq: PHYS 256",""
PHYS260L,"Intermediate Physics Laboratory","Experiments in selected physics topics. ","[Note: Lab alternates weeks. Approximately a week before a particular lab is held, a one-hour lecture will be given on the material to be covered in the lab. Students in programs joint with Physics should see department for enrolment access. Offered: W,S]","Prereq: PHYS 232L or 256L; Honours Physics, Physics and Astronomy, or Materials and Nanosciences.","Coreq: PHYS 242",""
PHYS263,"Classical Mechanics and Special Relativity","Newtonian dynamics of particles and systems of particles. Oscillations. Gravity and the central force problem. Lorentz transformations and relativistic dynamics. [Offered: W,S]","","Prereq: One of PHYS 112, 122; One of MATH 108, 128, 138, 148; One of MATH 228, AMATH 250, 251;","","Antireq: AMATH 261, 271"
PHYS267,"Probability, Statistics, and Data Analysis for Physics and Astronomy","Probability, probability distributions, errors, descriptive statistics, statistical inference (hypothesis testing, fitting, confidence intervals), computational methods (e.g., Monte Carlo) in Python, examples from physics and astronomy. [Offered: W, S]","","Prereq: PHYS 122, MATH 227; One of PHYS 236 or CS 114, 116, 136, 146.","","Antireq: STAT 230, 231"
PHYS270L,"Astronomical Observations, Instrumentation, and Data Analysis Laboratory","Selected experiments in Astronomy. [Offered: W,S]","","Prereq: PHYS 256 or ECE 404","",""
PHYS275,"Planets","Terrestrial and gas giant planets in the Solar System, asteroids and comets. Extrasolar planets and astrobiology.  Star and planet formation.  [Offered: F]","","","",""
PHYS280,"Introduction to Biophysics","Introduction to a physical understanding of biological systems at macro and molecular scales. The course is intended for second-year science and engineering students and will cover a broad spectrum of topics in biophysics, as well as an introduction to neurobiology, nanotechnology, and biotechnology. [Offered: W,S]","","Prereq: Level at least 2A Honours Science or Engineering plans","",""
PHYS334,"Quantum Physics 2","Formalism of quantum mechanics. Operator approach to the harmonic oscillator.  Quantum mechanics in three dimensions: Hydrogen atom, angular momentum and spin. Time-independent perturbation theory. Fine structure of hydrogen. Zeeman effect. Identical particles. The variational principle. Ground state of the helium atom. Applications in atomic and molecular physics. [Offered: W]","","Prereq: PHYS 234 or CHEM 356; One of MATH 228, AMATH 250, 251; MATH 227 or 237 or 247.","","Antireq: AMATH 373"
PHYS335,"Condensed Matter Physics","Overview of condensed matter ordered and disordered systems. Thermodynamic origin of order and phase transitions. Waves. Properties of the solid state. Crystals and fractals. Overview of Fourier Series. Reciprocal lattice. Diffraction. Classical elastic theory of the crystalline state. Electrons in a periodic potential, Band structure and Fermi surface. [Offered:  W]","","Prereq: PHYS 234 or CHEM 356; Level at least 3A Engineering, Mathematics or Science students","",""
PHYS342,"Electricity and Magnetism 2","Electric and magnetic fields in media, auxiliary fields, Maxwells equations, electromagnetic waves, electric and magnetic properties of matter. ","[Note: PHYS 236 or knowledge of computational methods recommended. Offered: F,S]","Prereq: PHYS 242; One of MATH 228, AMATH 250, AMATH 251.","",""
PHYS349,"Advanced Computational Physics","Algorithms for solving differential equations; Monte Carlo techniques; Fourier transforms; programming and computational techniques using Python, applied to physical problems such as astrophysics, electricity and magnetism, classical and quantum mechanics; introduction to machine learning and artificial intelligence. [Offered: W]","","Prereq: PHYS 236 or PHYS 249; PHYS 234, PHYS 242, and (AMATH 271 or PHYS 263).","","Antireq: PHYS 239"
PHYS358,"Thermal Physics","Temperature and thermodynamic equilibrium. Work, internal energy and heat; first law, with examples. Kinetic theory of gases.  Basic probability theory.  Microscopic states and entropy.  Absolute temperature, reversibility and the second law. Thermodynamic Functions and Maxwells relations.  Phase transitions. Third Law. Other applications of thermodynamics. [Formerly PHYS 258.  Offered: F, S]","","Prereq: PHYS 112 or 122; One of MATH 227, 237, 247; One of MATH 228, AMATH 250, 251.","","Antireq: CHEM 254, ECE 403"
PHYS359,"Statistical Mechanics","Fundamental postulate of statistical thermodynamics. Entropy. Microcanonical, canonical, and grand canonical ensembles. Fermi-Dirac, Bose-Einstein, and Boltzmann Statistics. Maxwell-Boltzmann velocity distribution. Applications to specific heat of solids, classical and quantum gases, electrons in metals, Plancks law of radiation, and Bose-Einstein condensation. [Offered: W]","","Prereq: One of PHYS 358, ECE 403, CHEM 254, ME 250; One of PHYS 233, 234, CHEM 356, co-requisite: AMATH 373","",""
PHYS360A,"Modern Physics Laboratory 1","Selected experiments in mechanics, optics, electronics, acoustics, atomic, molecular, nuclear, and solid state physics. ","[Note: Students in programs joint with Physics should see department for enrolment access. Offered: F,W,S]","Prereq: One of MNS 201L, PHYS 260L, PHYS 270L; Honours Physics, Physics and Astronomy, Materials and Nanosciences or Mathematical Physics.","",""
PHYS360B,"Modern Physics Laboratory 2","Continuation of PHYS 360A. [Offered: F,W,S]","","Prereq: PHYS 360A","",""
PHYS363,"Intermediate Classical Mechanics","Non-inertial frames of reference. Calculus of variations. Lagrangian mechanics. Coupled oscillations and normal modes. Hamiltonian dynamics. [Offered: F,S]","","Prereq: One of PHYS 236, CS 114, 116, 136, 146; One of PHYS 263 or AMATH 271; One of MATH 227, 237, 247; One of MATH 228, AMATH 250, AMATH 251","",""
PHYS364,"Mathematical Physics 1","Sturm-Liouville theory. Legendre, Bessel, and other special functions. Fourier series and introduction to Fourier transforms. Separation of variables. [Offered: F, S]","","Prereq: MATH 227; One of PHYS 236, CS 114, 116, 136, 146; One of MATH 228, AMATH 250, 251; Honours Physics, Chemical Physics, Physics and Astronomy, Life Physics or Materials and Nanosciences students only.","","Antireq: AMATH 353"
PHYS365,"Mathematical Physics 2","Complex variables, Cauchy-Riemann conditions, Cauchy integral formula, Taylor and Laurent expansions, residue theorem, contour integrals and applications. Fourier and Laplace transforms with applications. Greens functions. [Offered: W]","","Prereq: MATH 227; One of MATH 228, AMATH 250, 251; Honours Physics, Chemical Physics, Physics and Astronomy, Life Physics and Materials and Nanosciences students only.","","Antireq: AMATH 332"
PHYS370L,"Astronomy Laboratory 1","Selected experiments in astronomy. [Offered: W]","","Prereq: PHYS 267, 270L","",""
PHYS375,"Stars","Stellar distances, masses, ages. Stellar interiors and atmospheres, star formation and evolution. Supernovae, white dwarfs, neutron stars, black holes. [Offered: W]","","Prereq: PHYS 112 or 122; One of PHYS  236, CS 114, 116, 136, 146; Two of PHYS 234, 242, 256, 275, 358, AMATH 271","",""
PHYS380,"Molecular and Cellular Biophysics","Cell structure and molecular composition; intermolecular interactions and hydration; protein structure and function; cytoskeletal filaments; DNA structure, packing and chromosomes; rate equations and biological dynamics (e.g., cytoskeletal polymerization); self-assembly; cell membranes; action potentials and biological electricity; molecular motors; cell motility. ","[Note: Recommended PHYS 280/BIOL 280. Offered: F,S]","Prereq: PHYS 112 or 122; CHEM 123 or 125","",""
PHYS383,"Medical Physics","Applications of physics in medicine. The course will address basic concepts of medical imaging, nuclear medicine and radiation isotopes, radiation therapy and biomedical laser applications. Nuclear structure and binding energy. Nuclear decays, radioactivity and nuclear reactions. Interaction of radiation with matter. [Offered: W]","","Prereq: PHYS 112 or 122; one of MATH 118, 119, 128, 138, 148; PHYS 280/BIOL 280","",""
PHYS391,"Electronics","Norton and Thévenin equivalent circuits, bipolar junction and field-effect transistors, operational amplifiers, negative feedback, noise, common circuits used for measurement and control of laboratory experiments, introduction to digital circuits. [Offered: W]","","Prereq: One of PHYS 122 (winter 2019 or later), 224, 242.","Coreq: PHYS 391L",""
PHYS391L,"Electronics Laboratory","For students who have taken or are taking PHYS 391. ","[Note: Lab alternates weeks. Offered: W]","","Coreq: PHYS 391",""
PHYS393,"Physical Optics","Fourier Optics: diffraction, dispersion, coherence, imaging. Polarization: birefringence, Jones vectors, Mueller Matrices. Fresnel Equations: optics at an interface, thin films. [Offered: W even years]","","Prereq: PHYS 256 or ECE 404; PHYS 364 or AMATH 353","",""
PHYS394,"Light-Matter Interactions","Lasers: semi-classical interaction, properties, cavity, Gaussian beams.  Radiation and Detectors. Introduction to nonlinear optics. [Offered: W odd years]","","Prereq: PHYS 256 or ECE 404; PHYS 364 or AMATH 353","",""
PHYS395,"Biophysics of Therapeutic Methods","The effect of radiation of various kinds on cells and tissues; elements of radiobiology and photobiology; molecular mechanisms of radiation-induced DNA damage and cell death, repair of radiation damage, dose-response relationships; tumor radiobiology and therapies, radiotherapy, photodynamic therapy, combination therapies; radiosensitizers and photosensitizers for cancer therapies; transdisciplinary advances in physical methods (ultrafast laser and ultrasound techniques) for biomedical applications. ","[Note: PHYS 380 is recommended. Offered: W even years]","Prereq: One of PHYS 112, 122, 125, ECE 106; One of BIOL 130, 239, CHEM 123, 125, PHARM 141, PHYS 280/BIOL 280, PHYS 380; Level at least 3A Science, Mathematics or Engineering students","",""
PHYS396,"Biophysics of Imaging","Introduction to imaging concepts in biophysics with emphasis on the interrelationship between the physics principles of an imaging modality and the associated image reconstruction; methods for imaging at macroscopic to microscopic scales; computed tomography, magnetic resonance imaging, ultrasound, PET, optical imaging, optical and fluorescence microscopy, scanning probe microscopy (AFM, STM), optical tweezers, electron microscopy. ","[Note: PHYS 380 recommended. Offered: W odd years]","Prereq: One of PHYS 112, 122, 125, ECE 106; One of MATH 128, 138, 148,(SYDE 111,112);One of PHYS 224, 233, 234, 242, 256, 280, 380, ECE 209, 370, 375, NE 232, 241, SYDE 283, AMATH 231, 373, CS 473, CHEM 209, 356; Level at least 3A SCI, MATH or ENG stdnts","",""
PHYS434,"Quantum Physics 3","Symmetries and conservation laws. Review of time-independent perturbation theory (degenerate and non-degenerate, Rayleigh-Schrodinger, Brillouin-Wigner and canonical perturbation theory; effective Hamiltonian derivation). Time-dependent perturbation theory (1st and 2nd order, adiabatic perturbation, Aharonov-Bohm effect). Fermis golden rule. Two-level systems. Emission and absorption of radiation (applications). Second quantization of electromagnetic field in free space; photons. Spontaneous emission and natural lifetime; Lamb shift.  Elements of scattering theory. Introduction to the Dirac equation. [Offered: F]","","Prereq: PHYS 334 or AMATH 373; PHYS 364 or (AMATH 351 and 353)","",""
PHYS435,"Current Topics in Condensed Matter Physics","Physics pertaining to collective and emergent phenomena in condensed matter systems. Examples of topics to be covered include magnetism, superconductivity, heavy Fermion systems, quantum hall effect, protein folding, membranes, DNA physics, polymer physics, Modern experimental and theoretical techniques. [Offered: W]","","Prereq: PHYS 335, 359; PHYS 334 or AMATH 373","",""
PHYS437A,"Research Project","A research project in any area of physics approved by the course co-ordinator(s). ","[Note: Cumulative average must be 70% or higher; Offered: F,W,S]","Prereq: Level at least 4A Honours Physics, Chemical Physics, Mathematical Physics, Physics and Astronomy, Materials and Nanosciences, Life Physics or Biological and Medical Physics students only","",""
PHYS437B,"Research Project (Continued)","A research project in any area of physics approved by the course co-ordinator(s). This is often a continuation of the project started in PHYS 437A. ","[Note: Cumulative average must be 70% or higher; Offered: F,W,S]","Prereq: PHYS 437A","",""
PHYS442,"Electricity and Magnetism 3","Review of the origin of Maxwells equations, conservation laws, potential formulation of Maxwells equations and gauge choices, vacuum solutions of Maxwells equations (free space, waveguides, dispersion), solution to Maxwells equations for arbitrary sources (static and time-dependent problems), relativistic formulation of electrodynamics, macroscopic Maxwells equations and plane waves in macroscopic media. [Offered: F]","","Prereq: PHYS 342; PHYS 364 or (AMATH 351 and AMATH 353)","",""
PHYS444,"Introduction to Particle Physics","This course introduces students to the standard model of particle physics. Topics covered include symmetries, particle classification, experimental methods and tools, scattering, Feynman diagrams, gauge theories, quantum electrodynamics, quarks, quantum chromodynamics, weak interactions, and the Higgs mechanism. [Offered: W]","","Prereq: PHYS 334 or AMATH 373; PHYS 363; (PHYS 364 and 365) or (AMATH 332, 351, 353)","",""
PHYS449,"Machine Learning in Physics","Machine learning applications in the physical sciences. [Offered: F]","","Prereq: PHYS 236 or PHYS 349","",""
PHYS454,"Quantum Theory 2","The Hilbert space of states, observables, and time evolution. Feynman path integral and Greens functions. Approximation methods. Co-ordinate transformations, angular momentum, and spin. The relation between symmetries and conservation laws. Density matrix, Ehrenfest theorem, and decoherence. Multiparticle quantum mechanics. Bell inequality and basics of quantum computing. [Offered: F]","","Prereq: AMATH 373 or PHYS 334","",""
PHYS460A,"Advanced Laboratory 1","Selected advanced experiments in mechanics, optics, acoustics, electronics, atomic, molecular, nuclear, and condensed matter physics. [Offered: F,W,S]","","Prereq: PHYS 360A","",""
PHYS460B,"Advanced Laboratory 2","A continuation of PHYS 460A. [Offered: F,W,S]","","Prereq: PHYS 460A","",""
PHYS461,"Nanophysics","Fundamentals of nanotechnology.  Applications of nanotechnology in biology and medicine.  Nanotechnology and society.  Physical foundations of nanodevices.  Conduction at the nanoscale.  Modern nanodevices. [Offered: F]","","Prereq: PHYS 335 or ECE 231; Level at least 4A.","","Antireq: NE 471"
PHYS467,"Introduction to Quantum Information Processing","Basics of computational complexity; basics of quantum information; quantum phenomena; quantum circuits and universality; relationship between quantum and classical complexity classes; simple quantum algorithms; quantum Fourier transform; Shor factoring algorithm; Grover search algorithm; physical realization of quantum computation; error-correction and fault-tolerance; quantum key distribution.","","Prereq: One of MATH 114, 115, 235, 245, PHYS 334; Level at least 3A","",""
PHYS468,"Introduction to the Implementation of Quantum Information Processing","Photonic quantum computing, Superconducting qubits, NMR, Ion Trap quantum computing, Atomic quantum computing. [Offered: F]","","Prereq: CO 481/CS 467/PHYS 467 or PHYS 334","",""
PHYS474,"Galaxies","Galaxy structure, formation and evolution.  Dynamics and stellar populations; gas and dust; supermassive black holes; large-scale structure. [Offered:  F]","","Prereq: One of AMATH 261, 271, PHYS 263; PHYS 375; Level at least 4A Mathematics or Science","",""
PHYS475,"Cosmology","Robertson-Walker metric and Friedmann equations.  Observational cosmology.  Dark matter and dark energy.  Gravitational lensing. Big Bang nucleosynthesis, the cosmic microwave background.  Inflation.  Structure formation. ","[Note:  PHYS 474 is recommended.  Offered: F]","Prereq: One of AMATH 261, 271, PHYS 263; Level at least 4A in Mathematics or Science","",""
